	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
ASV_4865	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	NA	NA	NA	NA
ASV_4866	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_sp.
ASV_4867	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Variovorax	Variovorax_sp.
ASV_4868	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter_sp.
ASV_4869	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	NA	NA
ASV_4870	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	KI89A_clade	KI89A_clade_X	KI89A_clade_XX	KI89A_clade_XX_sp.
ASV_4871	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muriicola	Muriicola_sp.
ASV_4872	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	NA	NA	NA	NA	NA
ASV_4873	Eukaryota:plas	TSAR:plas	Alveolata:plas	Chrompodellids:plas	Colpodellidea:plas	Colpodellida:plas	Colpodellaceae:plas	Colpodellidae:plas	Colpodellidae_sp.:plas
ASV_4874	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4875	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	Halioglobus_sp.
ASV_4876	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	KI89A_clade	KI89A_clade_X	KI89A_clade_XX	KI89A_clade_XX_sp.
ASV_4877	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4878	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Woeseia_sp.
ASV_4879	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria_sp.
ASV_4880	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	NA	NA	NA	NA
ASV_4881	Eukaryota:plas	Archaeplastida:plas	Chlorophyta:plas	Chlorophyta_X:plas	Ulvophyceae:plas	Ulvales-relatives:plas	Ulvales-relatives_X:plas	Ulva:plas	NA
ASV_4882	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	HOC36	HOC36_X	HOC36_XX	HOC36_XX_sp.
ASV_4883	Bacteria	PVC	Planctomycetes	Planctomycetes_X	Planctomycetacia	Planctomycetales	Planctomycetales_X	Planctomycetales_XX	Planctomycetales_XX_sp.
ASV_4884	Bacteria	PVC	Planctomycetes	Planctomycetes_X	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania1B19_marine_sediment_group	Urania1B19_marine_sediment_group_sp.
ASV_4885	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	OM60(NOR5)_clade_sp.
ASV_4886	Bacteria	PVC	Verrucomicrobia	Verrucomicrobia_X	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Puniceicoccaceae_X	Puniceicoccaceae_X_sp.
ASV_4887	Bacteria	PVC	Planctomycetes	Planctomycetes_X	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula_sp.
